Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Affects Full Cycle	Date Announced	Date In Effect	Legality Article
mzJKMmjwtkBzThtDFrmFQ	phCFwdjG8dKDCmr7d7F7M	Awakening	3	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
bW8c9MNDCJcWF7RphDbqk	frQkkTNgtwqhkN6Hgq6cj	Channel Lake Frigid	3	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
Nk7rTCmjdC7fkmMkPPCQD	j8jjnw6NmpTpf9cWThfgg	Crippling Crush	1	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
87qq9j9nRTHDW7Nqcmkfm	HFwjczQFRKCgTFHdbjdzW	Hypothermia	3	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
998HqzjRCJpGTNGNHFPH7	JfJ7hNnCDL9GDCwfrWBBc	Oaken Old	1	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
79kDq7wL6gJfwt8jQJtwQ	zzHRCMBmNTF9KpJMqKWq8	Star Struck	2	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
kwPrDHpK86qTgKfGgKhqR	BkpMHRn6L8dpcgjgrPm9H	Warmonger's Diplomacy	3	Yes		2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
NGKFW9wFpGkFfGpLmbgfk	frQkkTNgtwqhkN6Hgq6cj	Channel Lake Frigid	3	No		2024-07-08T00:00:00.000Z	2024-07-08T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-8-7-24/
wn7M6rjKBNBJRLw7pkFPC	RMH9HdzcjCWdzLR7qwgbm	Bonds of Ancestry	1	Yes	Yes	2024-09-03T00:00:00.000Z	2024-09-09T00:00:00.000Z	https://fabtcg.com/en/articles/banned-and-restricted-announcement-sep02/
8JGHK67R96thFjDkc6wGF	dPTR67DTztNrb8wdFHnGW	Bonds of Ancestry	2	Yes	Yes	2024-09-03T00:00:00.000Z	2024-09-09T00:00:00.000Z	https://fabtcg.com/en/articles/banned-and-restricted-announcement-sep02/
cmMKqrm7HbpdQLfgKpFpc	jrHMpbmnF6Hh97PffFzG8	Bonds of Ancestry	3	Yes	Yes	2024-09-03T00:00:00.000Z	2024-09-09T00:00:00.000Z	https://fabtcg.com/en/articles/banned-and-restricted-announcement-sep02/
zqrCR6GwKK7BnN76wHGHd	FwtKQ8HK8JLbHFWbFQDPg	Open the Flood Gates	1	Yes	Yes	2024-11-11T00:00:00.000Z	2024-11-11T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-11-11-24/
DnjzLCkKBQKKbCqB87nM9	NHdBTDcjh8hGJBKPpcgQ9	Open the Flood Gates	2	Yes	Yes	2024-11-11T00:00:00.000Z	2024-11-11T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-11-11-24/
hHk6qRddQHqgGKhJHpdFc	jBbnKk8wHjT9GG7fMzkdJ	Open the Flood Gates	3	Yes	Yes	2024-11-11T00:00:00.000Z	2024-11-11T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-11-11-24/
KJ6mzT8LGhRJJM8fkTcwC	zzHRCMBmNTF9KpJMqKWq8	Star Struck	2	No		2024-11-11T00:00:00.000Z	2024-11-11T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-11-11-24/
nMB77ggcMb7rCkJ8Rqwzn	r7fBPzjnf99MPwFc6F8b6	Deadwood Dirge	1	Yes	Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
mpFhbMbwwCPP6qwMcBHjz	N9QrfGfPbL9NHPcRT6Nd7	Deadwood Dirge	2	Yes	Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
MWNLmnCQ8N8NFn6qTbrBD	jMq8ttGz9DCqPMjQRRmdF	Deadwood Dirge	3	Yes	Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
RMGg7QFFWLpWRrcwkJTwF	CNNCgwHGzCBKNMHCWhdTR	Succumb to Temptation	2	Yes		2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
TjRFbQdkWkGmhn7CCbJBW	HFwjczQFRKCgTFHdbjdzW	Hypothermia	3	No		2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
